previous_system,previous_stream,academic_performance,strong_subject,weak_area,interest_area,study_independence,study_hours,analytical_skill,problem_handling,tuition_access,study_preference,career_clarity,decision_factor,confidence_level,target_stream
Matric,Arts,Average,Arts,Memorization,Problem solving,Somewhat,No,Disagree,Keep Trying,No,Continuous,Not clear,Interest,Unsure,Pre-Engineering
O-Level,Pre-Medical,Below Average,Commerce,Memorization,Creative,No,No,Neutral,Keep Trying,Limited,Exams,Not clear,Interest,Not confident,Arts
Matric,Pre-Medical,Below Average,Commerce,Memorization,Problem solving,No,Sometimes,Neutral,Avoid,No,Exams,Clear,Career,Unsure,Pre-Engineering
O-Level,Commerce,Below Average,Arts,Memorization,Business,Somewhat,No,Strongly Agree,Ask Help,Yes,Exams,Not clear,Family,Unsure,Commerce
O-Level,Pre-Medical,Good,Physics,Writing,Problem solving,No,Sometimes,Neutral,Avoid,No,Continuous,Not clear,Career,Unsure,Pre-Engineering
Matric,Pre-Medical,Below Average,Math,Math,Creative,Yes,Yes,Disagree,Keep Trying,Yes,Continuous,Not clear,Interest,Not confident,Pre-Engineering
Matric,Commerce,Good,Physics,Writing,Creative,No,Yes,Agree,Keep Trying,Yes,Exams,Clear,Career,Unsure,Pre-Engineering
Matric,Commerce,Good,Math,Math,Research,Yes,Yes,Agree,Ask Help,Limited,Continuous,Somewhat,Career,Not confident,Pre-Medical
O-Level,Pre-Engineering,Average,Arts,Math,Problem solving,No,Yes,Agree,Keep Trying,Yes,Continuous,Clear,Interest,Confident,Pre-Engineering
Matric,Arts,Good,Biology,Memorization,Business,Somewhat,Sometimes,Agree,Keep Trying,No,Exams,Clear,Career,Not confident,Pre-Medical
O-Level,Pre-Engineering,Good,Physics,Memorization,Research,Somewhat,Yes,Agree,Avoid,Yes,Exams,Somewhat,Peer,Unsure,Pre-Medical
O-Level,Pre-Medical,Good,Commerce,Science,Research,Yes,Sometimes,Disagree,Avoid,Limited,Continuous,Somewhat,Career,Confident,Pre-Medical
Matric,Pre-Medical,Average,Arts,Science,Problem solving,Somewhat,Yes,Neutral,Avoid,No,Continuous,Somewhat,Interest,Not confident,Pre-Engineering
O-Level,Pre-Medical,Below Average,Biology,Writing,Research,Somewhat,Sometimes,Strongly Agree,Ask Help,Limited,Exams,Somewhat,Peer,Unsure,Pre-Medical
Matric,Arts,Excellent,Arts,Math,Problem solving,Somewhat,Sometimes,Agree,Ask Help,No,Continuous,Clear,Family,Confident,Pre-Engineering
O-Level,Pre-Medical,Average,Arts,Science,Business,Somewhat,Sometimes,Disagree,Keep Trying,Yes,Exams,Clear,Family,Unsure,Commerce
O-Level,Commerce,Excellent,Physics,Math,Creative,Yes,Sometimes,Disagree,Keep Trying,No,Continuous,Clear,Interest,Not confident,Pre-Engineering
Matric,Pre-Engineering,Below Average,Arts,Writing,Problem solving,No,Yes,Strongly Agree,Ask Help,Limited,Continuous,Not clear,Peer,Confident,Pre-Engineering
Matric,Arts,Good,Commerce,Writing,Creative,Somewhat,No,Neutral,Ask Help,Yes,Exams,Somewhat,Interest,Confident,Arts
O-Level,Commerce,Good,Commerce,Writing,Research,No,No,Disagree,Keep Trying,Limited,Continuous,Clear,Peer,Confident,Pre-Medical
Matric,Pre-Medical,Good,Physics,Math,Research,Somewhat,Sometimes,Agree,Avoid,Yes,Exams,Clear,Peer,Not confident,Pre-Medical
Matric,Pre-Engineering,Excellent,Physics,Math,Research,Yes,No,Agree,Avoid,Limited,Exams,Clear,Career,Not confident,Pre-Medical
Matric,Arts,Below Average,Biology,Writing,Research,No,Yes,Strongly Agree,Avoid,Limited,Exams,Somewhat,Peer,Unsure,Pre-Medical
Matric,Pre-Medical,Below Average,Biology,Memorization,Problem solving,Somewhat,Yes,Agree,Avoid,No,Exams,Not clear,Interest,Not confident,Pre-Medical
O-Level,Commerce,Average,Arts,Math,Problem solving,Somewhat,Sometimes,Strongly Agree,Avoid,No,Continuous,Not clear,Family,Confident,Pre-Engineering
O-Level,Pre-Engineering,Excellent,Biology,Math,Research,No,Yes,Neutral,Ask Help,Yes,Continuous,Not clear,Peer,Unsure,Pre-Medical
Matric,Arts,Below Average,Physics,Memorization,Business,No,Sometimes,Neutral,Keep Trying,Yes,Exams,Somewhat,Family,Not confident,Pre-Engineering
Matric,Pre-Engineering,Excellent,Physics,Memorization,Problem solving,Somewhat,Yes,Agree,Ask Help,No,Continuous,Somewhat,Career,Unsure,Pre-Engineering
Matric,Arts,Good,Physics,Writing,Business,Somewhat,Sometimes,Strongly Agree,Ask Help,Yes,Continuous,Clear,Family,Unsure,Pre-Engineering
O-Level,Pre-Engineering,Good,Biology,Math,Business,Somewhat,No,Neutral,Keep Trying,Yes,Exams,Clear,Family,Confident,Pre-Medical
Matric,Pre-Engineering,Average,Physics,Memorization,Creative,No,No,Strongly Agree,Avoid,Yes,Continuous,Clear,Interest,Confident,Pre-Engineering
O-Level,Arts,Below Average,Physics,Science,Business,Somewhat,Sometimes,Neutral,Keep Trying,Yes,Exams,Not clear,Career,Not confident,Pre-Engineering
Matric,Pre-Engineering,Excellent,Biology,Math,Business,Somewhat,No,Neutral,Keep Trying,Yes,Continuous,Somewhat,Family,Unsure,Pre-Medical
O-Level,Pre-Medical,Good,Math,Science,Business,Somewhat,Sometimes,Strongly Agree,Avoid,Limited,Exams,Clear,Interest,Unsure,Pre-Engineering
O-Level,Arts,Below Average,Physics,Science,Business,No,No,Neutral,Avoid,Limited,Continuous,Not clear,Peer,Unsure,Pre-Engineering
Matric,Arts,Average,Math,Memorization,Creative,Somewhat,No,Agree,Avoid,No,Exams,Not clear,Peer,Unsure,Pre-Engineering
Matric,Arts,Good,Physics,Memorization,Problem solving,Yes,Yes,Neutral,Keep Trying,Yes,Exams,Clear,Peer,Not confident,Pre-Engineering
O-Level,Commerce,Average,Commerce,Science,Problem solving,Somewhat,No,Agree,Ask Help,Yes,Exams,Not clear,Career,Confident,Pre-Engineering
O-Level,Commerce,Average,Math,Memorization,Problem solving,Somewhat,No,Disagree,Avoid,Yes,Exams,Somewhat,Family,Not confident,Pre-Engineering
Matric,Arts,Excellent,Math,Writing,Creative,Yes,No,Disagree,Avoid,Yes,Exams,Clear,Interest,Not confident,Pre-Engineering
Matric,Pre-Medical,Good,Math,Math,Creative,Somewhat,Sometimes,Strongly Agree,Ask Help,Yes,Continuous,Somewhat,Interest,Not confident,Pre-Engineering
O-Level,Pre-Medical,Average,Commerce,Science,Business,Yes,Yes,Disagree,Ask Help,Yes,Continuous,Clear,Interest,Unsure,Commerce
O-Level,Pre-Medical,Good,Commerce,Math,Research,Somewhat,No,Neutral,Ask Help,No,Continuous,Clear,Peer,Not confident,Pre-Medical
O-Level,Arts,Excellent,Math,Math,Problem solving,No,Yes,Agree,Ask Help,Limited,Continuous,Somewhat,Career,Not confident,Pre-Engineering
Matric,Pre-Engineering,Average,Physics,Writing,Business,No,Yes,Strongly Agree,Avoid,Yes,Exams,Somewhat,Family,Not confident,Pre-Engineering
Matric,Commerce,Below Average,Math,Writing,Business,Yes,No,Agree,Keep Trying,Limited,Continuous,Somewhat,Family,Confident,Pre-Engineering
Matric,Commerce,Below Average,Biology,Math,Research,Somewhat,Yes,Neutral,Avoid,No,Continuous,Somewhat,Interest,Unsure,Pre-Medical
O-Level,Commerce,Good,Biology,Writing,Business,Somewhat,No,Neutral,Ask Help,No,Continuous,Clear,Family,Not confident,Pre-Medical
Matric,Pre-Engineering,Good,Physics,Memorization,Problem solving,Somewhat,Sometimes,Disagree,Ask Help,Yes,Exams,Not clear,Family,Unsure,Pre-Engineering
O-Level,Arts,Excellent,Biology,Memorization,Business,Yes,Sometimes,Strongly Agree,Avoid,Limited,Continuous,Clear,Peer,Confident,Pre-Medical
Matric,Commerce,Good,Physics,Math,Business,Somewhat,Yes,Disagree,Keep Trying,Limited,Continuous,Somewhat,Family,Confident,Pre-Engineering
O-Level,Pre-Medical,Good,Biology,Math,Problem solving,Somewhat,No,Neutral,Ask Help,Yes,Continuous,Not clear,Peer,Unsure,Pre-Medical
O-Level,Pre-Engineering,Below Average,Biology,Writing,Research,Yes,Sometimes,Strongly Agree,Avoid,Yes,Exams,Not clear,Interest,Confident,Pre-Medical
O-Level,Pre-Engineering,Good,Biology,Science,Creative,Yes,Yes,Neutral,Ask Help,Yes,Exams,Not clear,Peer,Unsure,Pre-Medical
O-Level,Commerce,Below Average,Commerce,Memorization,Business,No,Sometimes,Agree,Keep Trying,Limited,Exams,Somewhat,Peer,Not confident,Commerce
O-Level,Arts,Average,Arts,Memorization,Problem solving,Yes,Sometimes,Neutral,Keep Trying,Yes,Continuous,Somewhat,Career,Confident,Pre-Engineering
Matric,Pre-Engineering,Good,Commerce,Math,Problem solving,Yes,No,Agree,Ask Help,Limited,Exams,Not clear,Family,Unsure,Pre-Engineering
O-Level,Arts,Good,Arts,Science,Business,No,Sometimes,Strongly Agree,Keep Trying,Yes,Continuous,Somewhat,Peer,Not confident,Commerce
Matric,Pre-Engineering,Good,Math,Math,Business,Yes,No,Agree,Ask Help,No,Continuous,Clear,Family,Confident,Pre-Engineering
Matric,Pre-Medical,Average,Math,Science,Research,Yes,No,Agree,Keep Trying,Limited,Continuous,Not clear,Interest,Unsure,Pre-Medical
Matric,Arts,Good,Biology,Science,Creative,No,Sometimes,Disagree,Avoid,No,Continuous,Somewhat,Peer,Not confident,Pre-Medical
Matric,Pre-Engineering,Below Average,Arts,Writing,Problem solving,Somewhat,No,Agree,Ask Help,Yes,Continuous,Not clear,Career,Not confident,Pre-Engineering
O-Level,Pre-Engineering,Good,Biology,Math,Research,Yes,No,Disagree,Ask Help,No,Exams,Clear,Peer,Confident,Pre-Medical
Matric,Commerce,Average,Arts,Math,Business,No,Sometimes,Disagree,Avoid,Yes,Continuous,Somewhat,Career,Confident,Commerce
O-Level,Pre-Engineering,Good,Arts,Memorization,Research,Somewhat,No,Disagree,Avoid,No,Continuous,Clear,Interest,Confident,Pre-Medical
O-Level,Arts,Average,Physics,Memorization,Creative,No,Sometimes,Disagree,Keep Trying,Limited,Exams,Somewhat,Career,Confident,Pre-Engineering
Matric,Commerce,Below Average,Arts,Science,Creative,Yes,Yes,Disagree,Keep Trying,No,Continuous,Somewhat,Peer,Not confident,Arts
Matric,Arts,Excellent,Math,Math,Creative,No,Sometimes,Agree,Avoid,No,Exams,Somewhat,Peer,Not confident,Pre-Engineering
Matric,Commerce,Average,Math,Math,Problem solving,Yes,Yes,Neutral,Keep Trying,Limited,Exams,Clear,Peer,Confident,Pre-Engineering
O-Level,Pre-Engineering,Average,Arts,Writing,Creative,Yes,Yes,Disagree,Keep Trying,No,Exams,Not clear,Peer,Not confident,Arts
Matric,Arts,Below Average,Biology,Math,Problem solving,Somewhat,No,Agree,Avoid,No,Continuous,Somewhat,Interest,Unsure,Pre-Medical
Matric,Pre-Engineering,Good,Physics,Science,Research,Yes,No,Neutral,Ask Help,Limited,Exams,Clear,Interest,Unsure,Pre-Medical
O-Level,Commerce,Average,Physics,Memorization,Business,Yes,Yes,Agree,Ask Help,No,Continuous,Somewhat,Peer,Confident,Pre-Engineering
O-Level,Pre-Medical,Excellent,Physics,Science,Research,Yes,No,Disagree,Avoid,Limited,Exams,Somewhat,Interest,Unsure,Pre-Medical
O-Level,Pre-Engineering,Below Average,Biology,Science,Research,Somewhat,No,Neutral,Keep Trying,Yes,Exams,Clear,Career,Confident,Pre-Medical
O-Level,Pre-Medical,Good,Math,Science,Research,Yes,Yes,Agree,Keep Trying,Yes,Exams,Clear,Family,Unsure,Pre-Medical
O-Level,Arts,Excellent,Arts,Memorization,Research,Somewhat,Sometimes,Neutral,Avoid,No,Exams,Not clear,Family,Not confident,Pre-Medical
Matric,Arts,Below Average,Commerce,Science,Research,Somewhat,Yes,Strongly Agree,Ask Help,Limited,Exams,Somewhat,Peer,Unsure,Pre-Medical
Matric,Arts,Below Average,Commerce,Memorization,Research,Yes,Sometimes,Agree,Keep Trying,No,Exams,Somewhat,Interest,Not confident,Pre-Medical
Matric,Arts,Below Average,Math,Science,Research,Yes,No,Agree,Ask Help,No,Exams,Somewhat,Peer,Not confident,Pre-Medical
O-Level,Pre-Engineering,Average,Physics,Science,Research,Somewhat,No,Agree,Keep Trying,No,Exams,Not clear,Interest,Unsure,Pre-Medical
Matric,Arts,Below Average,Physics,Memorization,Research,Yes,Sometimes,Disagree,Avoid,No,Continuous,Not clear,Peer,Unsure,Pre-Medical
O-Level,Commerce,Below Average,Biology,Science,Research,Yes,Sometimes,Agree,Keep Trying,Yes,Exams,Somewhat,Interest,Confident,Pre-Medical
Matric,Pre-Engineering,Average,Math,Memorization,Problem solving,No,Sometimes,Disagree,Avoid,Yes,Continuous,Clear,Family,Not confident,Pre-Engineering
O-Level,Arts,Excellent,Commerce,Science,Research,Yes,Yes,Agree,Ask Help,Limited,Exams,Somewhat,Family,Not confident,Pre-Medical
O-Level,Arts,Below Average,Math,Memorization,Problem solving,Somewhat,Sometimes,Strongly Agree,Avoid,Limited,Exams,Clear,Family,Confident,Pre-Engineering
Matric,Arts,Average,Commerce,Math,Business,Somewhat,Sometimes,Strongly Agree,Keep Trying,Yes,Exams,Not clear,Family,Not confident,Commerce
Matric,Pre-Engineering,Good,Physics,Writing,Creative,No,Sometimes,Disagree,Avoid,No,Continuous,Somewhat,Interest,Unsure,Pre-Engineering
O-Level,Pre-Medical,Good,Commerce,Math,Problem solving,No,Sometimes,Strongly Agree,Keep Trying,Limited,Exams,Clear,Family,Confident,Pre-Engineering
Matric,Arts,Excellent,Math,Math,Creative,Yes,Sometimes,Agree,Keep Trying,Limited,Exams,Somewhat,Career,Unsure,Pre-Engineering
O-Level,Pre-Medical,Average,Biology,Science,Business,Yes,No,Strongly Agree,Ask Help,Yes,Continuous,Clear,Family,Unsure,Pre-Medical
O-Level,Commerce,Good,Physics,Science,Research,Yes,No,Neutral,Avoid,No,Exams,Somewhat,Peer,Not confident,Pre-Medical
O-Level,Arts,Good,Biology,Writing,Problem solving,Somewhat,Yes,Neutral,Avoid,Yes,Exams,Somewhat,Family,Not confident,Pre-Medical
O-Level,Pre-Medical,Below Average,Arts,Memorization,Research,Somewhat,Sometimes,Agree,Avoid,No,Exams,Not clear,Peer,Not confident,Pre-Medical
O-Level,Arts,Good,Arts,Science,Business,No,Sometimes,Disagree,Avoid,Yes,Continuous,Somewhat,Family,Unsure,Commerce
O-Level,Pre-Medical,Excellent,Commerce,Writing,Business,No,Yes,Disagree,Keep Trying,Limited,Exams,Clear,Peer,Unsure,Commerce
O-Level,Commerce,Below Average,Math,Memorization,Creative,No,Sometimes,Neutral,Keep Trying,No,Continuous,Clear,Family,Confident,Pre-Engineering
Matric,Pre-Engineering,Below Average,Biology,Memorization,Research,No,Yes,Disagree,Ask Help,No,Continuous,Clear,Career,Confident,Pre-Medical
O-Level,Arts,Below Average,Commerce,Science,Research,Yes,Yes,Strongly Agree,Avoid,Limited,Exams,Somewhat,Interest,Not confident,Pre-Medical
Matric,Commerce,Below Average,Math,Science,Creative,No,Yes,Strongly Agree,Avoid,Limited,Exams,Somewhat,Career,Unsure,Pre-Engineering
Matric,Pre-Medical,Below Average,Physics,Writing,Business,Somewhat,Sometimes,Neutral,Keep Trying,Yes,Continuous,Clear,Career,Unsure,Pre-Engineering
Matric,Pre-Medical,Below Average,Commerce,Math,Research,Yes,No,Agree,Avoid,No,Exams,Clear,Family,Confident,Pre-Medical
O-Level,Commerce,Excellent,Physics,Math,Problem solving,Somewhat,Yes,Agree,Avoid,Limited,Continuous,Somewhat,Family,Not confident,Pre-Engineering
Matric,Arts,Excellent,Arts,Writing,Creative,Somewhat,Yes,Disagree,Keep Trying,Limited,Exams,Not clear,Peer,Unsure,Arts
Matric,Pre-Medical,Good,Physics,Memorization,Business,Somewhat,Yes,Agree,Avoid,Yes,Continuous,Clear,Peer,Confident,Pre-Engineering
O-Level,Commerce,Good,Physics,Math,Business,Yes,Yes,Strongly Agree,Ask Help,Limited,Exams,Clear,Interest,Not confident,Pre-Engineering
O-Level,Commerce,Below Average,Biology,Memorization,Research,No,Yes,Strongly Agree,Avoid,Yes,Exams,Somewhat,Interest,Confident,Pre-Medical
O-Level,Arts,Good,Commerce,Science,Business,Yes,Sometimes,Agree,Keep Trying,Yes,Continuous,Clear,Family,Confident,Commerce
Matric,Pre-Engineering,Excellent,Physics,Writing,Business,No,Yes,Agree,Keep Trying,Yes,Exams,Not clear,Peer,Unsure,Pre-Engineering
O-Level,Arts,Average,Commerce,Memorization,Creative,Somewhat,No,Disagree,Ask Help,No,Exams,Not clear,Family,Confident,Arts
O-Level,Pre-Engineering,Average,Biology,Memorization,Research,Yes,Sometimes,Neutral,Avoid,Limited,Continuous,Not clear,Family,Unsure,Pre-Medical
Matric,Pre-Engineering,Average,Biology,Writing,Research,Somewhat,No,Agree,Avoid,Limited,Continuous,Somewhat,Family,Not confident,Pre-Medical
Matric,Commerce,Average,Biology,Memorization,Creative,Somewhat,Yes,Agree,Ask Help,No,Exams,Somewhat,Peer,Unsure,Pre-Medical
O-Level,Commerce,Excellent,Physics,Science,Problem solving,Yes,Sometimes,Neutral,Keep Trying,No,Continuous,Somewhat,Interest,Unsure,Pre-Engineering
Matric,Commerce,Below Average,Math,Math,Business,No,Yes,Agree,Avoid,Yes,Exams,Clear,Interest,Confident,Pre-Engineering
O-Level,Commerce,Below Average,Commerce,Writing,Creative,Somewhat,Yes,Strongly Agree,Keep Trying,No,Continuous,Clear,Family,Unsure,Arts
O-Level,Commerce,Good,Physics,Science,Creative,No,Yes,Agree,Avoid,Limited,Continuous,Clear,Career,Confident,Pre-Engineering
O-Level,Arts,Good,Biology,Memorization,Problem solving,Yes,Yes,Disagree,Ask Help,Limited,Exams,Not clear,Career,Unsure,Pre-Medical
O-Level,Commerce,Average,Math,Writing,Business,Somewhat,Yes,Agree,Keep Trying,No,Exams,Not clear,Career,Confident,Pre-Engineering
Matric,Arts,Average,Arts,Memorization,Research,Somewhat,Sometimes,Neutral,Keep Trying,Yes,Continuous,Somewhat,Peer,Confident,Pre-Medical
O-Level,Pre-Engineering,Excellent,Arts,Writing,Creative,Yes,Yes,Strongly Agree,Ask Help,No,Exams,Clear,Career,Not confident,Arts
O-Level,Pre-Engineering,Excellent,Math,Math,Research,No,No,Agree,Keep Trying,Yes,Continuous,Somewhat,Family,Confident,Pre-Medical
O-Level,Pre-Medical,Average,Biology,Math,Business,Somewhat,Sometimes,Agree,Keep Trying,No,Exams,Somewhat,Career,Not confident,Pre-Medical
Matric,Commerce,Excellent,Biology,Science,Business,Yes,Yes,Neutral,Ask Help,Yes,Exams,Clear,Family,Unsure,Pre-Medical
O-Level,Pre-Engineering,Below Average,Commerce,Memorization,Problem solving,Somewhat,Yes,Strongly Agree,Keep Trying,No,Exams,Not clear,Interest,Unsure,Pre-Engineering
Matric,Arts,Excellent,Math,Writing,Creative,No,No,Neutral,Avoid,No,Exams,Clear,Career,Unsure,Pre-Engineering
Matric,Arts,Below Average,Arts,Writing,Creative,Somewhat,No,Neutral,Keep Trying,Yes,Continuous,Not clear,Career,Unsure,Arts
Matric,Pre-Engineering,Good,Arts,Science,Research,Yes,Sometimes,Disagree,Keep Trying,Yes,Continuous,Not clear,Family,Not confident,Pre-Medical
O-Level,Commerce,Average,Arts,Writing,Research,Yes,No,Neutral,Avoid,Limited,Continuous,Clear,Family,Confident,Pre-Medical
Matric,Pre-Engineering,Good,Arts,Writing,Creative,No,Yes,Agree,Ask Help,Yes,Exams,Somewhat,Interest,Confident,Arts
O-Level,Pre-Medical,Excellent,Math,Memorization,Creative,No,Yes,Disagree,Avoid,Yes,Exams,Not clear,Interest,Not confident,Pre-Engineering
O-Level,Commerce,Average,Math,Writing,Research,No,No,Neutral,Keep Trying,Limited,Exams,Somewhat,Family,Unsure,Pre-Medical
O-Level,Arts,Excellent,Commerce,Memorization,Creative,No,Sometimes,Disagree,Keep Trying,Yes,Exams,Clear,Peer,Unsure,Arts
Matric,Pre-Engineering,Below Average,Math,Science,Business,Yes,Sometimes,Disagree,Avoid,Yes,Continuous,Not clear,Family,Confident,Pre-Engineering
O-Level,Arts,Below Average,Arts,Writing,Problem solving,Somewhat,Yes,Strongly Agree,Keep Trying,No,Exams,Not clear,Peer,Unsure,Pre-Engineering
Matric,Arts,Average,Math,Writing,Problem solving,Yes,Yes,Agree,Ask Help,No,Exams,Somewhat,Career,Not confident,Pre-Engineering
Matric,Pre-Medical,Excellent,Commerce,Writing,Creative,No,No,Neutral,Keep Trying,No,Exams,Clear,Career,Unsure,Arts
Matric,Commerce,Excellent,Physics,Memorization,Business,Somewhat,Yes,Disagree,Avoid,Limited,Continuous,Clear,Peer,Not confident,Pre-Engineering
Matric,Arts,Excellent,Arts,Math,Business,Yes,Sometimes,Neutral,Avoid,No,Exams,Not clear,Peer,Unsure,Commerce
Matric,Arts,Average,Physics,Memorization,Problem solving,Somewhat,Sometimes,Agree,Ask Help,No,Exams,Clear,Family,Not confident,Pre-Engineering
Matric,Pre-Engineering,Good,Biology,Science,Research,Somewhat,No,Disagree,Avoid,Limited,Exams,Somewhat,Interest,Not confident,Pre-Medical
Matric,Commerce,Good,Biology,Science,Problem solving,Yes,No,Agree,Keep Trying,No,Continuous,Not clear,Peer,Not confident,Pre-Medical
Matric,Arts,Good,Math,Memorization,Business,No,Yes,Agree,Ask Help,Yes,Continuous,Not clear,Peer,Not confident,Pre-Engineering
Matric,Commerce,Excellent,Commerce,Writing,Creative,Yes,No,Neutral,Keep Trying,No,Exams,Clear,Interest,Unsure,Arts
Matric,Pre-Medical,Below Average,Physics,Writing,Business,Somewhat,No,Strongly Agree,Ask Help,No,Continuous,Clear,Interest,Unsure,Pre-Engineering
Matric,Pre-Engineering,Good,Biology,Writing,Creative,Somewhat,Sometimes,Strongly Agree,Keep Trying,No,Continuous,Clear,Interest,Not confident,Pre-Medical
O-Level,Pre-Engineering,Excellent,Physics,Science,Business,No,No,Disagree,Ask Help,Yes,Exams,Not clear,Career,Confident,Pre-Engineering
O-Level,Pre-Engineering,Excellent,Math,Math,Creative,Yes,Sometimes,Neutral,Ask Help,Yes,Continuous,Not clear,Interest,Not confident,Pre-Engineering
Matric,Pre-Engineering,Excellent,Math,Memorization,Business,Somewhat,Sometimes,Disagree,Ask Help,No,Exams,Somewhat,Peer,Unsure,Pre-Engineering
Matric,Arts,Excellent,Commerce,Memorization,Business,No,Sometimes,Strongly Agree,Avoid,Limited,Continuous,Somewhat,Interest,Not confident,Commerce
O-Level,Arts,Below Average,Commerce,Writing,Creative,Somewhat,Sometimes,Agree,Avoid,Yes,Exams,Somewhat,Peer,Not confident,Arts
O-Level,Commerce,Below Average,Arts,Memorization,Business,Yes,Yes,Strongly Agree,Keep Trying,No,Exams,Not clear,Peer,Unsure,Commerce
Matric,Commerce,Average,Arts,Writing,Research,No,Sometimes,Strongly Agree,Avoid,No,Exams,Somewhat,Family,Unsure,Pre-Medical
Matric,Arts,Good,Math,Math,Business,Yes,Sometimes,Disagree,Keep Trying,Yes,Exams,Clear,Family,Unsure,Pre-Engineering
O-Level,Arts,Average,Arts,Memorization,Business,Somewhat,Yes,Neutral,Avoid,Yes,Continuous,Somewhat,Peer,Unsure,Commerce
O-Level,Pre-Medical,Excellent,Physics,Science,Business,Somewhat,Yes,Disagree,Keep Trying,Yes,Exams,Not clear,Interest,Confident,Pre-Engineering
O-Level,Commerce,Excellent,Math,Math,Business,Somewhat,No,Neutral,Ask Help,Limited,Continuous,Not clear,Career,Unsure,Pre-Engineering
O-Level,Pre-Engineering,Excellent,Commerce,Science,Creative,No,Sometimes,Neutral,Keep Trying,Limited,Exams,Somewhat,Career,Confident,Arts
O-Level,Pre-Medical,Below Average,Physics,Memorization,Business,Yes,No,Disagree,Ask Help,No,Exams,Clear,Interest,Confident,Pre-Engineering
Matric,Pre-Engineering,Excellent,Math,Memorization,Research,Somewhat,No,Strongly Agree,Ask Help,No,Exams,Not clear,Family,Confident,Pre-Medical
Matric,Pre-Medical,Good,Biology,Memorization,Business,No,Sometimes,Strongly Agree,Ask Help,No,Continuous,Clear,Career,Not confident,Pre-Medical
O-Level,Pre-Medical,Good,Biology,Math,Problem solving,Somewhat,Sometimes,Agree,Keep Trying,Limited,Exams,Not clear,Family,Confident,Pre-Medical
Matric,Commerce,Below Average,Physics,Math,Business,Yes,Sometimes,Disagree,Avoid,No,Continuous,Clear,Family,Unsure,Pre-Engineering
Matric,Pre-Medical,Below Average,Commerce,Math,Research,Yes,No,Neutral,Ask Help,No,Continuous,Clear,Career,Unsure,Pre-Medical
Matric,Pre-Engineering,Good,Commerce,Math,Problem solving,Somewhat,Sometimes,Neutral,Keep Trying,No,Exams,Somewhat,Career,Not confident,Pre-Engineering
O-Level,Pre-Engineering,Below Average,Math,Writing,Creative,Yes,Sometimes,Neutral,Ask Help,Yes,Continuous,Somewhat,Peer,Unsure,Pre-Engineering
O-Level,Commerce,Good,Physics,Memorization,Creative,No,Sometimes,Strongly Agree,Avoid,Limited,Continuous,Not clear,Peer,Unsure,Pre-Engineering
Matric,Pre-Medical,Excellent,Math,Memorization,Creative,No,No,Disagree,Keep Trying,Yes,Continuous,Somewhat,Family,Confident,Pre-Engineering
Matric,Arts,Average,Math,Science,Creative,Somewhat,No,Disagree,Ask Help,Limited,Continuous,Clear,Family,Not confident,Pre-Engineering
O-Level,Arts,Average,Biology,Science,Business,No,Sometimes,Agree,Ask Help,Yes,Exams,Somewhat,Peer,Confident,Pre-Medical
Matric,Pre-Engineering,Average,Math,Writing,Problem solving,No,Sometimes,Strongly Agree,Ask Help,Limited,Continuous,Not clear,Family,Confident,Pre-Engineering
